All-Purpose Bike Stand,Accessories,Bike Stands,39591,249,249,243,150,2014-01-28,low performing,144,159,263
AWC Logo Cap,Clothing,Caps,19710,2190,2190,2132,150,2014-01-28,low performing,144,9,131
Bike Wash - Dissolver,Accessories,Cleaners,7272,908,909,875,150,2014-01-28,low performing,144,8,48
Classic Vest- L,Clothing,Vests,12480,195,195,195,150,2014-01-28,low performing,144,64,83
Classic Vest- M,Clothing,Vests,12736,199,199,199,150,2014-01-27,low performing,144,64,84
Classic Vest- S,Clothing,Vests,10944,168,171,168,150,2014-01-28,low performing,144,65,72
Fender Set - Mountain,Accessories,Fenders,46662,2121,2121,2110,150,2014-01-28,low performing,144,22,311
Half-Finger Gloves- L,Clothing,Gloves,10632,443,443,437,150,2014-01-28,low performing,144,24,70
Half-Finger Gloves- M,Clothing,Gloves,11976,499,499,488,150,2014-01-28,low performing,144,24,79
Half-Finger Gloves- S,Clothing,Gloves,11712,488,488,479,150,2014-01-25,low performing,144,24,78
Hitch Rack - 4-Bike,Accessories,Bike Racks,39360,328,328,325,150,2014-01-28,low performing,144,120,262
HL Mountain Tire,Accessories,Tires and Tubes,48895,1396,1397,1396,150,2014-01-28,low performing,144,35,325
HL Road Tire,Accessories,Tires and Tubes,28314,858,858,820,150,2014-01-28,low performing,144,33,188
Hydration Pack - 70 oz.,Accessories,Hydration Packs,40315,733,733,719,150,2014-01-28,low performing,144,55,268
LL Mountain Tire,Accessories,Tires and Tubes,21600,862,864,830,150,2014-01-28,low performing,144,25,144
LL Road Tire,Accessories,Tires and Tubes,21924,1044,1044,1030,150,2014-01-28,low performing,144,21,146
Long-Sleeve Logo Jersey- L,Clothing,Jerseys,22650,452,453,449,150,2014-01-28,low performing,144,50,151
Long-Sleeve Logo Jersey- M,Clothing,Jerseys,22100,442,442,436,150,2014-01-28,low performing,144,50,147
Long-Sleeve Logo Jersey- S,Clothing,Jerseys,21450,429,429,426,150,2014-01-28,low performing,144,50,143
Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,20700,413,414,409,150,2014-01-28,low performing,144,50,138
ML Mountain Tire,Accessories,Tires and Tubes,34830,1161,1161,1161,150,2014-01-28,low performing,144,30,232
ML Road Tire,Accessories,Tires and Tubes,23150,926,926,891,150,2014-01-28,low performing,144,25,154
Mountain Bottle Cage,Accessories,Bottles and Cages,20340,2025,2034,2004,150,2014-01-28,low performing,144,10,135
Mountain Tire Tube,Accessories,Tires and Tubes,15480,3095,3096,2960,150,2014-01-28,low performing,144,5,103
Mountain-100 Black- 38,Bikes,Mountain Bikes,165375,49,49,49,174,2011-12-27,mid range,169,3375,950
Mountain-100 Black- 42,Bikes,Mountain Bikes,151875,45,45,45,174,2011-12-27,mid range,169,3375,872
Mountain-100 Black- 44,Bikes,Mountain Bikes,202500,60,60,60,174,2011-12-21,mid range,169,3375,1163
Mountain-100 Black- 48,Bikes,Mountain Bikes,192375,57,57,57,174,2011-12-26,mid range,169,3375,1105
Mountain-100 Silver- 38,Bikes,Mountain Bikes,197200,58,58,58,174,2011-12-22,mid range,169,3400,1133
Mountain-100 Silver- 42,Bikes,Mountain Bikes,142800,42,42,42,174,2011-12-28,mid range,169,3400,820
Mountain-100 Silver- 44,Bikes,Mountain Bikes,166600,49,49,49,174,2011-12-12,mid range,169,3400,957
Mountain-100 Silver- 48,Bikes,Mountain Bikes,122400,36,36,36,174,2011-12-23,mid range,169,3400,703
Mountain-200 Black- 38,Bikes,Mountain Bikes,1294854,582,582,565,150,2013-12-28,high performing,145,2224,8632
Mountain-200 Black- 42,Bikes,Mountain Bikes,1363128,614,614,604,150,2013-12-28,high performing,145,2220,9087
Mountain-200 Black- 46,Bikes,Mountain Bikes,1373454,620,620,600,150,2013-12-27,high performing,145,2215,9156
Mountain-200 Silver- 38,Bikes,Mountain Bikes,1339394,596,596,583,150,2013-12-28,high performing,145,2247,8929
Mountain-200 Silver- 42,Bikes,Mountain Bikes,1257368,560,560,547,150,2013-12-28,high performing,145,2245,8382
Mountain-200 Silver- 46,Bikes,Mountain Bikes,1301029,580,580,567,150,2013-12-28,high performing,145,2243,8673
Mountain-400-W Silver- 38,Bikes,Mountain Bikes,113812,148,148,148,150,2013-12-27,mid range,145,769,758
Mountain-400-W Silver- 40,Bikes,Mountain Bikes,98432,128,128,128,150,2013-12-24,low performing,145,769,656
